id,video_id,tag
1,648859,music
2,648859,youthmusic
3,648859,acousticsongs
4,648859,chill
5,9601158,music
6,9601158,youthmusic
7,9601158,acousticsongs
8,9601158,chill
9,4873908,acousticsongs
10,4873908,lofi
11,4873908,chill
12,4873908,coffee
13,6080000,acousticsongs
14,6080000,chill
15,6080000,lofi
16,6080000,music
17,7325836,newyearsongs
18,7325836,music
19,7325836,acousticsongs
20,1490408,music
21,1490408,youthmusic
22,1490408,tiktok
23,7390308,music
24,7390308,youthmusic
25,7390308,tiktok
26,7390308,lofi
27,976255,lofi
28,976255,chill
29,976255,music
30,3225790,cartoon
31,3225790,kid
32,7749364,cartoon
33,7749364,kid
34,7749364,babybus
35,2429770,cartoon
36,2429770,kid
37,2429770,babybus
38,662155,cartoon
39,662155,kid
40,662155,babybus
41,3330325,VTV24
42,3330325,news
43,4730117,VTV24
44,4730117,news
45,5251717,VTV24
46,5251717,news
47,1927242,VTV24
48,1927242,news
49,1927242,Metoo
50,4899915,VTV24
51,4899915,news
52,4899915,muathi
53,9415187,VTV24
54,9415187,news
55,9415187,ocean
56,6448637,VTV24
57,6448637,news
58,4463293,VTV24
59,4463293,news
60,4463293,muathi
61,4463293,tuyensinh
